model,run_dir,train_lr,train_loss,test_loss,test_acc1,test_acc5,epoch,n_parameters
repvit_m0_9,DL project/Rudra's contribution/experiment_logs/repvit_m0_9,1.0000000000000076e-06,4.679579601532374,4.6514144393632995,0.9200000579833985,4.880000184631347,0,4757060
repvit_m0_9,DL project/Rudra's contribution/experiment_logs/repvit_m0_9,1.0000000000000076e-06,4.677158105067718,4.647509736834832,1.000000064086914,5.130000126647949,1,4757060
repvit_m0_9,DL project/Rudra's contribution/experiment_logs/repvit_m0_9,5.080000000000013e-05,4.613236739085271,4.521968130795461,4.950000128173828,17.190000537109373,2,4757060
repvit_m0_9,DL project/Rudra's contribution/experiment_logs/repvit_m0_9,0.00010059999999999946,4.5842353539589125,4.502156374589452,5.690000189208984,19.5300005859375,3,4757060
repvit_m0_9,DL project/Rudra's contribution/experiment_logs/repvit_m0_9,0.00015040000000000054,4.57992201707302,4.493824616918024,6.120000164794922,19.880000622558594,4,4757060
repvit_m0_9,DL project/Rudra's contribution/experiment_logs/repvit_m0_9,0.00020019999999999874,4.578036577273638,4.486774993392657,6.870000216674804,19.81000064086914,5,4757060
repvit_m0_9,DL project/Rudra's contribution/experiment_logs/repvit_m0_9,0.00024963008004797333,4.5740126316364,4.454336724191342,8.110000234985351,23.890000695800783,6,4757060
repvit_m0_9,DL project/Rudra's contribution/experiment_logs/repvit_m0_9,0.00024946743575236823,4.561358723273644,4.419152403777501,10.130000247192383,27.750000695800782,7,4757060
repvit_m0_9,DL project/Rudra's contribution/experiment_logs/repvit_m0_9,0.0002492753146546195,4.548441793979743,4.3842473210028885,11.070000274658202,30.540000793457033,8,4757060
repvit_m0_9,DL project/Rudra's contribution/experiment_logs/repvit_m0_9,0.00024905376415773644,4.538910623697134,4.336452799023323,11.770000308227539,32.790000915527344,9,4757060
repvit_m0_9,DL project/Rudra's contribution/experiment_logs/repvit_m0_9,0.00024880283892598717,4.5266962968386135,4.30877547893884,13.000000405883789,35.610001171875,10,4757060
repvit_m0_9,DL project/Rudra's contribution/experiment_logs/repvit_m0_9,0.00024852260087141864,4.513780864079793,4.276050891516344,14.290000396728516,37.730001171875,11,4757060
repvit_m0_9,DL project/Rudra's contribution/experiment_logs/repvit_m0_9,0.0002482131191385714,4.507422601259671,4.230965299426384,15.250000408935547,38.25000118408203,12,4757060
repvit_m0_9,DL project/Rudra's contribution/experiment_logs/repvit_m0_9,0.00024787447008744074,4.499758788866875,4.213348145754832,16.3700005859375,40.590001416015625,13,4757060
repvit_m0_9,DL project/Rudra's contribution/experiment_logs/repvit_m0_9,0.00024750673727461114,4.488507499450292,4.171967686347242,16.870000537109377,42.0300013671875,14,4757060
repvit_m0_9,DL project/Rudra's contribution/experiment_logs/repvit_m0_9,0.000247110011432651,4.480442911539322,4.1544743933767645,17.390000579833984,42.39000126953125,15,4757060
